agegr,province,gndr,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023
Бүгд,Сүхбаатар,1,,,,,,,,,,,,,,,,,,23520,23051,21962,22259,23108,23485,22513,19637,24049,26259,23544,26628,21223,24116,23730
Бүгд,Чингэлтэй,0,,,,,,,,,,,,,,,,,,23705,25817,21132,27105,26300,27938,27887,27244,27417,30013,31507,27032,27083,30625,27233
Бүгд,Чингэлтэй,1,,,,,,,,,,,,,,,,,,21862,22310,17142,25668,24927,23946,24314,24620,24844,25496,26753,27409,25819,24400,20195
Бүгд,Сонгинохайрхан,0,,,,,,,,,,,,,,,,,,51573,45714,45520,40471,49232,58666,62597,63573,64705,71101,68222,68588,59070,70329,66459
Бүгд,Сонгинохайрхан,1,,,,,,,,,,,,,,,,,,43875,39084,36029,34764,41600,49435,51349,51611,50050,52512,53867,52897,56934,55708,54995
15-19,country,0,,,,,,,,,,,,,,,,,,31707,25186,26261,34632,18773,16416,15961,13928,15348,18674,17757,18411,15376,13614,14763
15-19,country,1,,,,,,,,,,,,,,,,,,18613,16626,16567,27894,11692,8935,8255,7379,7697,6101,6573,7286,5464,5951,5665
15-19,Баян-Өлгий,0,,,,,,,,,,,,,,,,,,2199,1981,1873,3095,491,691,777,1043,1012,631,75,583,525,331,412
15-19,Баян-Өлгий,1,,,,,,,,,,,,,,,,,,2043,2001,2017,2514,272,265,538,146,390,300,302,338,104,63,331
15-19,Говь-Алтай,0,,,,,,,,,,,,,,,,,,825,952,613,2312,589,478,321,436,644,502,169,544,260,234,74
15-19,Говь-Алтай,1,,,,,,,,,,,,,,,,,,296,424,430,1573,217,181,426,344,350,79,93,99,324,130,11
15-19,Завхан,0,,,,,,,,,,,,,,,,,,196,804,860,1305,464,491,320,166,112,223,104,774,705,625,199
15-19,Завхан,1,,,,,,,,,,,,,,,,,,202,485,246,1484,316,552,139,45,49,43,155,0,0,21,0
15-19,Увс,0,,,,,,,,,,,,,,,,,,1676,1333,2265,1442,1522,870,802,372,704,938,1061,1022,774,240,775
15-19,Увс,1,,,,,,,,,,,,,,,,,,885,799,881,1611,732,163,411,191,378,275,192,1074,259,329,221
15-19,Ховд,0,,,,,,,,,,,,,,,,,,2094,974,1287,2192,263,566,708,535,502,582,477,265,577,409,249
15-19,Ховд,1,,,,,,,,,,,,,,,,,,1677,865,1167,1401,177,249,288,252,257,161,157,91,320,137,15
15-19,Архангай,0,,,,,,,,,,,,,,,,,,2820,2192,1968,2662,2374,1156,512,364,1032,1034,890,124,300,775,334
15-19,Архангай,1,,,,,,,,,,,,,,,,,,791,1119,1420,3466,1572,706,171,254,346,104,402,326,229,657,122
15-19,Баянхонгор,0,,,,,,,,,,,,,,,,,,1995,1326,1366,1635,1240,1007,1014,1563,1298,1064,538,2367,379,874,1573
15-19,Баянхонгор,1,,,,,,,,,,,,,,,,,,701,1114,827,1640,1093,262,165,859,907,471,263,215,816,438,175
15-19,Булган,0,,,,,,,,,,,,,,,,,,119,237,164,920,436,371,278,176,462,189,46,242,71,21,457
