"Статистик үзүүлэлт","Аймаг","Хүйс","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"15-19","Улсын дүн","Эмэгтэй","","","","","","","","","","","","","","","","","","18,613","16,626","16,567","27,894","11,692","8,935","8,255","7,379","7,697","6,101","6,573","7,286","5,464","5,951","5,665"
"15-19","Баян-Өлгий","Эрэгтэй","","","","","","","","","","","","","","","","","","2,199","1,981","1,873","3,095","491","691","777","1,043","1,012","631","75","583","525","331","412"
"15-19","Баян-Өлгий","Эмэгтэй","","","","","","","","","","","","","","","","","","2,043","2,001","2,017","2,514","272","265","538","146","390","300","302","338","104","63","331"
"15-19","Говь-Алтай","Эрэгтэй","","","","","","","","","","","","","","","","","","825","952","613","2,312","589","478","321","436","644","502","169","544","260","234","74"
"15-19","Говь-Алтай","Эмэгтэй","","","","","","","","","","","","","","","","","","296","424","430","1,573","217","181","426","344","350","79","93","99","324","130","11"
"15-19","Завхан","Эрэгтэй","","","","","","","","","","","","","","","","","","196","804","860","1,305","464","491","320","166","112","223","104","774","705","625","199"
"15-19","Завхан","Эмэгтэй","","","","","","","","","","","","","","","","","","202","485","246","1,484","316","552","139","45","49","43","155","0","0","21","0"
"15-19","Увс","Эрэгтэй","","","","","","","","","","","","","","","","","","1,676","1,333","2,265","1,442","1,522","870","802","372","704","938","1,061","1,022","774","240","775"
"15-19","Увс","Эмэгтэй","","","","","","","","","","","","","","","","","","885","799","881","1,611","732","163","411","191","378","275","192","1,074","259","329","221"
"15-19","Ховд","Эрэгтэй","","","","","","","","","","","","","","","","","","2,094","974","1,287","2,192","263","566","708","535","502","582","477","265","577","409","249"
"15-19","Ховд","Эмэгтэй","","","","","","","","","","","","","","","","","","1,677","865","1,167","1,401","177","249","288","252","257","161","157","91","320","137","15"
"15-19","Архангай","Эрэгтэй","","","","","","","","","","","","","","","","","","2,820","2,192","1,968","2,662","2,374","1,156","512","364","1,032","1,034","890","124","300","775","334"
"15-19","Архангай","Эмэгтэй","","","","","","","","","","","","","","","","","","791","1,119","1,420","3,466","1,572","706","171","254","346","104","402","326","229","657","122"
"15-19","Баянхонгор","Эрэгтэй","","","","","","","","","","","","","","","","","","1,995","1,326","1,366","1,635","1,240","1,007","1,014","1,563","1,298","1,064","538","2,367","379","874","1,573"
"15-19","Баянхонгор","Эмэгтэй","","","","","","","","","","","","","","","","","","701","1,114","827","1,640","1,093","262","165","859","907","471","263","215","816","438","175"
"15-19","Булган","Эрэгтэй","","","","","","","","","","","","","","","","","","119","237","164","920","436","371","278","176","462","189","46","242","71","21","457"
"15-19","Булган","Эмэгтэй","","","","","","","","","","","","","","","","","","0","107","403","530","391","170","116","125","97","44","113","131","0","35","128"
"15-19","Орхон","Эрэгтэй","","","","","","","","","","","","","","","","","","1,929","526","743","914","282","580","143","195","390","0","351","236","311","0","48"
"15-19","Орхон","Эмэгтэй","","","","","","","","","","","","","","","","","","362","316","222","1,331","167","179","195","336","67","64","50","146","175","140","47"
"15-19","Өвөрхангай","Эрэгтэй","","","","","","","","","","","","","","","","","","3,118","1,940","1,602","2,876","1,896","1,742","1,506","1,224","1,498","1,579","902","896","852","473","912"
"15-19","Өвөрхангай","Эмэгтэй","","","","","","","","","","","","","","","","","","2,066","1,334","1,097","1,608","1,677","990","588","609","720","557","198","155","209","41","572"
"15-19","Хөвсгөл","Эрэгтэй","","","","","","","","","","","","","","","","","","2,690","1,780","1,031","1,894","1,832","915","922","1,252","1,152","511","974","1,832","710","407","1,361"
"15-19","Хөвсгөл","Эмэгтэй","","","","","","","","","","","","","","","","","","1,797","1,345","604","1,372","1,223","579","580","973","615","617","31","395","284","317","447"
"15-19","Говьсүмбэр","Эрэгтэй","","","","","","","","","","","","","","","","","","175","200","189","0","40","42","103","68","158","0","156","189","180","0","12"
"15-19","Говьсүмбэр","Эмэгтэй","","","","","","","","","","","","","","","","","","88","0","0","0","20","21","0","0","0","0","17","71","138","19","0"
"15-19","Дархан-Уул","Эрэгтэй","","","","","","","","","","","","","","","","","","353","349","1,058","779","312","334","123","125","268","389","276","482","321","114","540"
"15-19","Дархан-Уул","Эмэгтэй","","","","","","","","","","","","","","","","","","457","298","359","637","71","310","116","119","0","132","321","158","54","52","0"
"15-19","Дорноговь","Эрэгтэй","","","","","","","","","","","","","","","","","","243","541","215","548","399","294","338","688","443","345","260","223","676","140","541"
"15-19","Дорноговь","Эмэгтэй","","","","","","","","","","","","","","","","","","234","793","331","611","307","221","90","188","297","101","247","39","40","57","111"
"15-19","Дундговь","Эрэгтэй","","","","","","","","","","","","","","","","","","714","484","562","1,177","398","570","733","419","642","502","510","231","383","516","307"
"15-19","Дундговь","Эмэгтэй","","","","","","","","","","","","","","","","","","300","280","330","938","201","420","309","355","242","334","67","105","126","307","74"
"15-19","Өмнөговь","Эрэгтэй","","","","","","","","","","","","","","","","","","732","563","1,575","1,321","315","694","317","243","303","334","261","572","697","110","329"
"15-19","Өмнөговь","Эмэгтэй","","","","","","","","","","","","","","","","","","618","471","824","593","210","83","181","91","124","160","129","312","36","16","343"
"15-19","Сэлэнгэ","Эрэгтэй","","","","","","","","","","","","","","","","","","1,761","1,660","1,095","550","486","187","386","281","373","488","476","106","96","295","144"
"15-19","Сэлэнгэ","Эмэгтэй","","","","","","","","","","","","","","","","","","1,405","639","619","283","174","182","209","227","197","290","80","85","0","18","0"
"15-19","Төв","Эрэгтэй","","","","","","","","","","","","","","","","","","1,029","1,141","1,422","1,400","582","1,316","1,260","428","509","678","490","1,436","823","528","247"
"15-19","Төв","Эмэгтэй","","","","","","","","","","","","","","","","","","745","709","1,059","962","497","188","726","136","177","442","518","595","317","38","180"
"15-19","Дорнод","Эрэгтэй","","","","","","","","","","","","","","","","","","721","675","736","774","357","142","556","221","334","405","1,037","269","317","600","118"
"15-19","Дорнод","Эмэгтэй","","","","","","","","","","","","","","","","","","668","273","357","1,160","203","98","204","101","56","0","51","190","0","217","350"
"15-19","Сүхбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","1,720","1,782","1,361","1,059","742","687","690","714","647","484","1,174","412","649","349","507"
"15-19","Сүхбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","826","1,370","708","863","370","228","336","288","80","121","129","47","11","159","99"
"15-19","Хэнтий","Эрэгтэй","","","","","","","","","","","","","","","","","","406","475","969","1,448","791","413","507","212","432","848","832","1,108","483","341","484"
"15-19","Хэнтий","Эмэгтэй","","","","","","","","","","","","","","","","","","0","295","430","968","333","57","55","269","59","188","64","205","499","128","30"
"15-19","Улаанбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","4,192","3,271","3,307","4,329","2,962","2,870","3,645","3,203","2,433","6,948","6,698","4,498","5,284","6,232","5,138"
